country,city,gender_ratio,macro_areas,share_pop_green,pct_open_space,built_up_area_percap,night_light_em,pm25_concentration,area,pop_density,gdp_per_pers,gender_equality_index,k_avg,grade_mean,orientation_order,prop_3way,straightness,bike_lane_area_prop,maxspeed_area_prop,latitudine,longitudine,macro_areas1
UK,York,0.1486705010118578,UK,0.434736676285,62.12,151.78268672299998,19.65335238,11.95435,40.0,3670.98673935,14923.816589351254,0.767,2.2611099298320223,0.0184585292458153,0.006945551180183001,0.5923878375504997,0.94442495387353,0.2547980645290137,0.6295224826436844,53.962286197299996,-1.08694348946,Europe
Netherlands,Nijmegen,0.14967869958582108,Benelux,0.35848780433899996,56.48,208.015093675,16.434610204000002,13.94635,60.0,3008.098745466667,16229.295599722627,0.736,2.66888694127958,0.017996190726389,0.016109033836275,0.6695880806310254,0.9280836592361794,0.3556266657201987,0.4612549998250297,51.828602535600005,5.813900138409999,Europe
Netherlands,Apeldoorn,0.15021528668612014,Benelux,0.476665379929,68.63,251.073176863,13.772984175,13.9947,39.0,2754.972462179487,18362.905461411818,0.736,2.6863226863226863,0.0098934451219512,0.0301789166164826,0.6578624078624079,0.9289469559882848,0.2940829973545471,0.7707607112739403,52.2083091812,5.97288371277,Europe
US,Austin,0.15262043866264718,US,0.415473552569,37.53,355.90098210199994,30.645239422,8.593885,606.0,1755.1496162871285,34253.64016540005,0.7240000000000001,2.8199718706047814,0.0314854055337845,0.1235167585223347,0.6252427834706316,0.94426764454903,0.10508216337106532,0.002763388947678812,30.371637529,-97.73513149450001,US
US,Nashville,0.15498210944269486,US,0.7081809348729999,62.49,517.5122408359999,49.101312253,10.738,221.0,1235.877645565611,31861.379161383164,0.7240000000000001,2.8260569852941178,0.0307444507683551,0.1367714920679837,0.6248851102941176,0.9504282276647236,0.05479737264813291,0.0014797017602391788,36.128356847,-86.7589946936,US
US,San Antonio,0.16089438878966122,US,0.406476335013,38.29,363.86215937300005,33.607263404,8.466455,875.0,1695.9163881485715,35491.351256327296,0.7240000000000001,2.9044619422572184,0.0266000903668895,0.1566171737763829,0.5984514435695538,0.9462927496851732,0.04743758607004533,0.0020681503875516144,29.491738589,-98.5206364009,US
Netherlands,Amsterdam,0.1620303115267187,Benelux,0.380926152293,56.82,190.764623365,30.372416766999997,13.08185,345.0,3271.6386324347827,26980.557516512872,0.736,2.80016006402561,0.0186165828283983,0.0296175734674138,0.6472989195678271,0.9212318926847052,0.4496315596963077,0.3116895056634673,52.35571208060001,4.85057771804,Europe
UK,Exeter,0.16554087770088127,UK,0.547705039892,64.4,189.772151768,19.115335234,10.274465,31.0,3427.0142204516133,17446.576888990876,0.767,2.2988092563468885,0.0384259186864738,0.0050998146632228,0.6097506178386879,0.935294616077629,0.25761747681268565,0.4154380281594796,50.7203069664,-3.5134053941900003,Europe
US,Las Vegas,0.1676187818045571,US,0.00663406461365,32.14,293.620158509,60.830456628,8.060525,878.0,2311.058980318907,32418.30393966442,0.7240000000000001,2.6883727152627968,0.0260469887162389,0.5805426149177417,0.5844746567668355,0.9385768993121748,0.022868778441993892,0.0007611890764198941,36.1444332791,-115.159073375,US
Netherlands,Utrecht,0.1683928726882621,Benelux,0.422658102224,58.79,165.876803285,20.7399435,14.2377,124.0,3590.6837470725814,26213.357044744385,0.736,2.751006503561474,0.0124580659687042,0.0309986159160694,0.6624341901517498,0.9219848701366766,0.3923341349342668,0.5412513099304167,52.0754851595,5.08187745505,Europe
US,Jacksonville,0.16880408536269534,US,0.782912726837,38.9,568.1296292669999,27.534402000000004,8.93149,371.0,1075.5057656981132,36453.3915561067,0.7240000000000001,2.870212765957447,0.0200873161406109,0.3371719538653817,0.5962486002239642,0.9396571770818104,0.027869542485123244,0.002616193447070042,30.3068227157,-81.64771776239999,US
US,Boston,0.1826647924276364,US,0.48509802197,62.94,279.371726703,30.752580793000003,9.085375,936.0,2204.3527597115385,43495.045720777794,0.7240000000000001,2.795112134452563,0.0317367321787637,0.0029282032861672,0.659753068513516,0.9461317425322116,0.07054756366225251,0.004868884890998373,42.3849961661,-71.0630394084,US
US,Oklahomacity,0.1854957038920084,US,0.43828124026,37.7,618.520913531,39.135129401,9.286485,550.0,1121.817216309091,30571.342175526468,0.7240000000000001,2.975355370510556,0.0190084808051111,0.6806012440058997,0.6247792076709563,0.9452932938804486,0.03760676782825801,0.0015861715948983302,35.4630932309,-97.5244230309,US
US,Albuquerque,0.19448435979294584,US,0.0223292127635,25.33,485.541701219,30.613592475999997,6.863455,446.0,1537.9680427623318,30185.252555924562,0.7240000000000001,2.8541604974829733,0.0220106863101104,0.3094584552732219,0.5677376369558779,0.9474554692736666,0.1415114952611296,0.01133562725594056,35.1290376291,-106.629162042,US
Netherlands,Groningen,0.20564203921462734,Benelux,0.457679719404,62.25,171.347571725,18.59818179,12.479000000000001,44.0,3713.3186801590914,28922.6343861371,0.736,2.83911199800449,0.0163914953435248,0.1687156270323521,0.6697430780743328,0.9206897089279442,0.37794160349062295,0.5953190972449584,53.2199810416,6.57569742319,Europe
